movie,desc,rating,genres,casts,season,name,episode_link,movie_image-src,mp4_link-href,3gp_link-href
12 Monkeys,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will eventually decimate the human race.,4.8,null,"Aaron Stanford, Amanda Schull, Noah Bean",Season 02,12 Monkeys,Episode 12,http://o2tvseries.com/res/tv_serials/124.jpg,http://o2tvseries.com/download/19304,http://o2tvseries.com/12-Monkeys/Season-02/Episode-12/index.html#
Youre the Worst,"Centers on two toxic, self-destructive people who fall in love and attempt a relationship.",4.8,null,"Chris Geere, Aya Cash, Desmin Borges",Season 01,Youre the Worst,Episode 08,http://o2tvseries.com/res/tv_serials/104.jpg,http://o2tvseries.com/download/13122,http://o2tvseries.com/Youre-the-Worst-1/Season-01/Episode-08/index.html#
24,"In this concept drama, each season takes place within one 24 hour period. Day 1: Jack Bauer is the head of field ops for an elite team of CTU agents who uncover an assassination plot targeting Presidential nominee David Palmer. Meanwhile, Jack's strained marriage to his wife, Teri, is pushed to the brink by the sudden disappearance of their troubled teenage daughter. What will the next 24 hours hold?",4.8,null,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard",Season 08,24,Episode 24,http://o2tvseries.com/res/tv_serials/29.jpg,http://o2tvseries.com/download/6976,http://o2tvseries.com/24-1/Season-08/Episode-24/index.html#
24,"In this concept drama, each season takes place within one 24 hour period. Day 1: Jack Bauer is the head of field ops for an elite team of CTU agents who uncover an assassination plot targeting Presidential nominee David Palmer. Meanwhile, Jack's strained marriage to his wife, Teri, is pushed to the brink by the sudden disappearance of their troubled teenage daughter. What will the next 24 hours hold?",4.8,null,"Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard",Season 04,24,Episode 15,http://o2tvseries.com/res/tv_serials/29.jpg,http://o2tvseries.com/download/6766,http://o2tvseries.com/24-1/Season-04/Episode-15/index.html#
Supernatural,"Two brothers follow their father's footsteps as ""hunters"" fighting evil supernatural beings of many kinds including monsters, demons, and gods that roam the earth.",4.83,null,"Jared Padalecki, Jensen Ackles, Misha Collins",Season 07,Supernatural,Episode 21,http://o2tvseries.com/res/tv_serials/5.jpg,http://o2tvseries.com/download/2774,http://o2tvseries.com/Supernatural-2/Season-07/Episode-21/index.html#
2 Broke Girls,Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash.,4.81,null,"Kat Dennings, Beth Behrs, Garrett Morris",Season 04,2 Broke Girls,Episode 18,http://o2tvseries.com/res/tv_serials/56.jpg,http://o2tvseries.com/download/15240,http://o2tvseries.com/2-Broke-Girls-1/Season-04/Episode-18/index.html#
Scandal,"When you get into trouble there's only one person to call, Olivia Pope. Olivia is a professional 'fixer' who makes problems go away before anyone even knows they exist. For the moneyed, the powerful and even the President, Olivia is a legend in her field. Her spectacular success is mostly due to her unbreakable rule of always trust your gut. No matter how careful you are, when you do damage control for a living, you're bound to cause some damage to your own life. She and her crew eat, sleep, live and breathe crisis. Each week, as the team races against the clock to defuse intriguing new problems before they become full-blown disasters, they also have to deal with their own personal issues. They may call themselves 'gladiators in suits', but little by little, Olivia and her crew begin to reveal the chinks in their armor.",4.81,null,"Kerry Washington, Columbus Short, Darby Stanchfield",Season 06,Scandal,Episode 01,http://o2tvseries.com/res/tv_serials/57.jpg,http://o2tvseries.com/download/27796,http://o2tvseries.com/download/27795
White Collar,"The unlikely partnership between charming con artist Neal Caffrey and straightman FBI agent Peter Burke. Caffrey provides his expertise to help Burke catch other elusive criminals in exchange for his freedom, and together they prove that to solve the hardest crimes, you must hire the smartest criminal.",4.8,null,"Matt Bomer, Tim DeKay, Willie Garson",Season 02,White Collar,Episode 09,http://o2tvseries.com/res/tv_serials/45.jpg,http://o2tvseries.com/download/9452,http://o2tvseries.com/White-Collar/Season-02/Episode-09/index.html#
Vikings,"Vikings follows the adventures of Ragnar Lothbrok the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods, legend has it that he was a direct descendant of Odin, the god of war and warriors.",4.83,null,"Travis Fimmel, Katheryn Winnick, Clive Standen",Season 02,Vikings,Episode 05,http://o2tvseries.com/res/tv_serials/18.jpg,http://o2tvseries.com/download/11948,http://o2tvseries.com/Vikings-2/Season-02/Episode-05/index.html#
Supernatural,"Two brothers follow their father's footsteps as ""hunters"" fighting evil supernatural beings of many kinds including monsters, demons, and gods that roam the earth.",4.83,null,"Jared Padalecki, Jensen Ackles, Misha Collins",Season 01,Supernatural,Episode 22,http://o2tvseries.com/res/tv_serials/5.jpg,http://o2tvseries.com/download/2524,http://o2tvseries.com/Supernatural-2/Season-01/Episode-22/index.html#
