movie,movie-href,desc,image,director,genre1,genre2,genre3,genre4,cast,hd_link,hd_link-href,download_link,download_link-href,first_link,second_link,third_link,fourth_link,name,year
The Cobbler (2014),https://fzmovies.net/movie-The%20Cobbler--hmp4.htm,"Max Simkin repairs shoes in the same New York shop that has been in his family for generations. Disenchanted with the grind of daily life, Max stumbles upon a magical heirloom that allows ...",https://fzmovies.net/imdb_images/The.Cobbler.2014.jpg,,"Comedy,Drama,Fantasy",null,null,null,"Dan Stevens, Ellen Barkin, Adam Sandler",The_Cobbler_DVDRip_high.mp4,https://fzmovies.net/download1.php?fileID=4613&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=4613&section=3,https://server86.fzuploads.com/movies/Hollywood/The.Cobbler.2014/The_Cobbler_(2014)_DVDRip_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/The.Cobbler.2014/The_Cobbler_(2014)_DVDRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/The.Cobbler.2014/The_Cobbler_(2014)_DVDRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/The.Cobbler.2014/The_Cobbler_(2014)_DVDRip_high_(fzmovies.net).mp4,The Cobbler,2014
Pixies (2015),https://fzmovies.net/movie-Pixies--hmp4.htm,"Joe Beck has lost the love of his life thanks to a Pixie's Curse and he now needs to figure out how to get his girl back, learn more about the mysterious Pixies and undo a bad deed he did long ago.",https://fzmovies.net/imdb_images/Pixies.2015.jpg,,"Animation,Comedy",null,null,null,"Alexa PenaVega, Bill Paxton, Christopher Plummer",Pixies_HDRip_high.mp4,https://fzmovies.net/download1.php?fileID=4904&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=4904&section=3,https://server96.fzuploads.com/movies/Hollywood/Pixies.2015/Pixies_(2015)_HDRip_high_(fzmovies.net).mp4,https://server86.fzuploads.com/movies/Hollywood/Pixies.2015/Pixies_(2015)_HDRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/Pixies.2015/Pixies_(2015)_HDRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/Pixies.2015/Pixies_(2015)_HDRip_high_(fzmovies.net).mp4,Pixies,2015
Pan (2015),https://fzmovies.net/movie-Pan--hmp4.htm,"12-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan.",https://fzmovies.net/imdb_images/Pan.2015.jpg,Joe Wright,Adventure,Family,Fantasy,null,"Levi Miller, Hugh Jackman, Garrett Hedlund",Pan_BluRay_high.mp4,https://fzmovies.net/download1.php?fileID=5274&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=5274&section=3,https://server86.fzuploads.com/movies/Hollywood/Pan.2015/Pan_(2015)_BluRay_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/Pan.2015/Pan_(2015)_BluRay_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/Pan.2015/Pan_(2015)_BluRay_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/Pan.2015/Pan_(2015)_BluRay_high_(fzmovies.net).mp4,Pan,2015
The Muppets (2011),https://fzmovies.net/movie-The%20Muppets--hmp4.htm,"With the help of three fans, The Muppets must reunite to save their old theater from a greedy oil tycoon.",https://fzmovies.net/files/Hollywood/The.muppets/Muppets_ver4.jpg,James Bobin,Comedy,Drama,Family,null,"Amy Adams, Jason Segel, Chris Cooper",The.muppets bluray.mp4,https://fzmovies.net/download1.php?fileID=208&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=208&section=3,https://server96.fzuploads.com/movies/Hollywood/The.muppets/The.muppets_bluray_high_(fzmovies.net).mp4,https://server86.fzuploads.com/movies/Hollywood/The.muppets/The.muppets_bluray_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/The.muppets/The.muppets_bluray_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/The.muppets/The.muppets_bluray_high_(fzmovies.net).mp4,The Muppets,2011
Miss Peregrines Home for Peculiar Children  (2016),https://fzmovies.net/movie-Miss%20Peregrines%20Home%20for%20Peculiar%20Children%20--hmp4.htm,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",https://fzmovies.net/imdb_images/Miss.Peregrines.Home.for.Peculiar.Children.2016.jpg,Tim Burton,Adventure,Drama,Family,null,"Eva Green, Asa Butterfield, Samuel L. Jackson",Miss_Peregrines_Home_for_Peculiar_Children__BluRay_high.mp4,https://fzmovies.net/download1.php?fileID=9685&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=9685&section=3,https://server86.fzuploads.com/movies/HollywoodN/Miss.Peregrines.Home.for.Peculiar.Children.2016/Miss_Peregrines_Home_for_Peculiar_Children__(2016)_BluRay_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/HollywoodN/Miss.Peregrines.Home.for.Peculiar.Children.2016/Miss_Peregrines_Home_for_Peculiar_Children__(2016)_BluRay_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/HollywoodN/Miss.Peregrines.Home.for.Peculiar.Children.2016/Miss_Peregrines_Home_for_Peculiar_Children__(2016)_BluRay_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/HollywoodN/Miss.Peregrines.Home.for.Peculiar.Children.2016/Miss_Peregrines_Home_for_Peculiar_Children__(2016)_BluRay_high_(fzmovies.net).mp4,Miss Peregrines Home for Peculiar Children,2016
Rufus 2 2017 (2017),https://fzmovies.net/movie-Rufus%202%202017--hmp4.htm,Rufus is a dog but turns into a human with a pendant. He meets a girl named Kat who asks him to go out. Kat is a cat who can also turn into a human as well.,https://fzmovies.net/imdb_images/Rufus.2.2017.jpg,Savage Steve Holland,Comedy,Family,null,null,"Jade Pettyjohn, Jace Norman, Davis Cleveland",Rufus_2_2017_WEBRip_high.mp4,https://fzmovies.net/download1.php?fileID=9883&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=9883&section=3,https://server96.fzuploads.com/movies/HollywoodN/Rufus.2.2017/Rufus_2_2017_(2017)_WEBRip_high_(fzmovies.net).mp4,https://server86.fzuploads.com/movies/HollywoodN/Rufus.2.2017/Rufus_2_2017_(2017)_WEBRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/HollywoodN/Rufus.2.2017/Rufus_2_2017_(2017)_WEBRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/HollywoodN/Rufus.2.2017/Rufus_2_2017_(2017)_WEBRip_high_(fzmovies.net).mp4,Rufus 2 2017,2017
Astro Boy (2010),https://fzmovies.net/movie-Astro%20Boy--hmp4.htm,"When an android replica of a boy is rejected by his aggrieved creator, he goes off to find his own identity in an adventure that would make him his time's greatest hero.",https://fzmovies.net/imdb_images/Astro.Boy.2009.jpg,David Bowers,Animation,Action,Family,null,"Freddie Highmore, Nicolas Cage, Kristen Bell",Astro_Boy_BluRay_high.mp4,https://fzmovies.net/download1.php?fileID=6086&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=6086&section=3,https://server86.fzuploads.com/movies/Hollywood/Astro.Boy.2009/Astro_Boy_(2010)_BluRay_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/Astro.Boy.2009/Astro_Boy_(2010)_BluRay_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/Astro.Boy.2009/Astro_Boy_(2010)_BluRay_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/Astro.Boy.2009/Astro_Boy_(2010)_BluRay_high_(fzmovies.net).mp4,Astro Boy,2010
ParaNorman (2011),https://fzmovies.net/movie-ParaNorman--hmp4.htm,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from an curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can.",https://fzmovies.net/imdb_images/ParaNorman.2012.jpg,Chris ButlerSam Fell,Animation,Adventure,Comedy,Family,"Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse",ParaNorman_BluRay_high.mp4,https://fzmovies.net/download1.php?fileID=1932&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=1932&section=3,https://server86.fzuploads.com/movies/Hollywood/ParaNorman.2012/ParaNorman_(2012)_BluRay_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/ParaNorman.2012/ParaNorman_(2012)_BluRay_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/ParaNorman.2012/ParaNorman_(2012)_BluRay_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/ParaNorman.2012/ParaNorman_(2012)_BluRay_high_(fzmovies.net).mp4,ParaNorman,2011
Journey 2: The Mysterious Island (2012),https://fzmovies.net/movie-Journey%202:%20The%20Mysterious%20Island--hmp4.htm,"17-year-old Sean Anderson receives a coded distress signal from a mysterious island where no island should exist. Unable to stop tracking the signal, he sets out with a small group on a journey to the mysterious island - a place few people have ever seen or lived to tell about. What they find is an island of stunning beauty, strange and threatening life forms, volcanoes, mountains of gold and more than one astonishing secret.",https://fzmovies.net/imdb_images/Journey.2.The.Mysterious.Island.2012.jpg,Brad Peyton,Action,Adventure,Comedy,Family,"Dwayne Johnson, Michael Caine, Josh Hutcherson, Luis Guzmán, Vanessa Hudgens, Kristin Davis, Anna Colwell, Stephen Caudill, Branscombe Richmond, Walter Bankson, Michael Beasley,",Journey_2:_The_Mysterious_Island_BRRip_high.mp4,https://fzmovies.net/download1.php?fileID=2605&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=2605&section=3,https://server86.fzuploads.com/movies/Hollywood/Journey.2.The.Mysterious.Island.2012/Journey_2:_The_Mysterious_Island_(2012)_BRRip_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/Journey.2.The.Mysterious.Island.2012/Journey_2:_The_Mysterious_Island_(2012)_BRRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/Journey.2.The.Mysterious.Island.2012/Journey_2:_The_Mysterious_Island_(2012)_BRRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/Journey.2.The.Mysterious.Island.2012/Journey_2:_The_Mysterious_Island_(2012)_BRRip_high_(fzmovies.net).mp4,Journey 2: The Mysterious Island,2012
Oz the Great and Powerful (2013),https://fzmovies.net/movie-Oz%20the%20Great%20and%20Powerful--hmp4.htm,"Oscar Diggs (<a href=""/name/nm0290556/"">James Franco</a>), a small-time circus magician with dubious ethics, is hurled away from dusty Kansas to the vibrant Land of Oz. At first he thinks he's hit the jackpot-fame and fortune are his for the taking. That all changes, however, when he meets three witches, Theodora (<a href=""/name/nm0005109/"">Mila Kunis</a>), Evanora (<a href=""/name/nm0001838/"">Rachel Weisz</a>), and Glinda (<a href=""/name/nm0931329/"">Michelle Williams</a>), who are not convinced he is the great wizard everyone's been expecting. Reluctantly drawn into the epic problems facing the Land of Oz and its inhabitants, Oscar must find out who is good and who is evil before it is too late. Putting his magical arts to use through illusion, ingenuity-and even a bit of wizardry-Oscar transforms himself not only into the great and powerful Wizard of Oz but into a better man as well.",https://fzmovies.net/imdb_images/Oz.the.Great.and.Powerful.2013 .jpg,Sam Raimi,Adventure,Family,Fantasy,null,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams, Zach Braff, Bill Cobbs, Joey King, Tony Cox",Oz_the_Great_and_Powerful_BRRip_high.mp4,https://fzmovies.net/download1.php?fileID=3425&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=3425&section=3,https://server86.fzuploads.com/movies/Hollywood/Oz.the.Great.and.Powerful.2013 /Oz_the_Great_and_Powerful_(2013)_BRRip_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/Oz.the.Great.and.Powerful.2013 /Oz_the_Great_and_Powerful_(2013)_BRRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/Oz.the.Great.and.Powerful.2013 /Oz_the_Great_and_Powerful_(2013)_BRRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/Oz.the.Great.and.Powerful.2013 /Oz_the_Great_and_Powerful_(2013)_BRRip_high_(fzmovies.net).mp4,Oz the Great and Powerful,2013
