movie,name,movie_image-src,rating,desc,casts,genres
Agent Carter,Agent Carter,http://o2tvseries.com/res/tv_serials/122.jpg,4.8,"Peggy Carter becomes a S.H.I.E.L.D. agent during WW2 after her boyfriend, Steve Rogers (Captain America) is feared dead in an explosion.","Hayley Atwell, Shea Whigham, Lyndsy Fonseca","Action, Adventure, Sci-Fi"
Chicago PD,Chicago PD,http://o2tvseries.com/res/tv_serials/82.jpg,4.81,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head-to-head with the citys street crimes. And theres the Intelligence Unit, the team that combats the citys major offenses - organized crime, drug trafficking, high profile murders and beyond.","Sophia Bush, Jason Beghe, Jon Seda","Action, Drama"
Blindspot,Blindspot,http://o2tvseries.com/res/tv_serials/149.jpg,4.92,"A woman with no memories of her past (Jane Doe), is found naked in Times Square with her body fully covered in intricate tattoos. Her discovery sets off a vast and complex mystery that immediately ignites the attention of the FBI, which begins to follow the road map of her tattoos into a larger conspiracy of crime, while bringing her closer to discovering the truth about her identity.","Kelly P. Williams, Sullivan Stapleton, Jaimie Alexander","Drama, Mystery, Thriller"
Agents Of S.H.I.E.L.D.,Agents Of S.H.I.E.L.D.,http://o2tvseries.com/res/tv_serials/49.jpg,4.83,"After the Battle of New York, the world has changed. It now knows not only about the Avengers, but also the powerful menaces that require those superheroes and more to face them. In response, Phil Coulson of the Strategic Homeland Intervention, Enforcement and Logistics Division assembles an elite covert team to find and deal with these threats wherever they are found. With a world rapidly becoming more bizarre and dangerous than ever before as the supervillains arise, these agents of S.H.I.E.L.D. are to take them on.","Clark Gregg, Ming-Na Wen, Brett Dalton","Action, Drama, Sci-Fi"
Empire,Empire,http://o2tvseries.com/res/tv_serials/128.jpg,4.86,A unique family drama set in the world of a hip hop empire.,"Lizzy Leigh, Bryshere Y. Gray, Jussie Smollett","Drama, Music"
Game Of Thrones,Game Of Thrones,http://o2tvseries.com/res/tv_serials/10.jpg,4.84,"Seven noble families fight for control of the mythical land of Westeros. Political and sexual intrigue is pervasive. Robert Baratheon, King of Westeros, asks his old friend Eddard, Lord Stark, to serve as Hand of the King, or highest official. Secretly warned that the previous Hand was assassinated, Eddard accepts in order to investigate further. Meanwhile the Queen's family, the Lannisters, may be hatching a plot to take power. Across the sea, the last members of the previous and deposed ruling family, the Targaryens, are also scheming to regain the throne. The friction between the houses Stark, Lannister and Baratheon, and with the remaining great houses Greyjoy, Tully, Arryn, and Tyrell, leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war and political confusion, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","Peter Dinklage, Lena Headey, Michelle Fairley","Adventure, Drama, Fantasy"
Hawaii Five-O,Hawaii Five-O,http://o2tvseries.com/res/tv_serials/115.jpg,4.7,"Steve McGarrett returns home to Oahu, in order to find his fathers killer. The governor offers him the chance to run his own task force (Five-0). Steves team is joined by Chin Ho Kelly, Danny Danno Williams, and Kono Kalakaua.","Alex OLoughlin, Scott Caan, Daniel Dae Kim","Action, Crime, Drama"
Beauty And The Beast,Beauty And The Beast,http://o2tvseries.com/res/tv_serials/42.jpg,4.82,"Detective Catherine Chandler (Kristin Kreuk), shaken to the core over the fact that everything she thought she knew about her life has been a lie, is determined to get answers to the secrets that have been revealed about her family. Cat must also try to navigate her evolving relationship with handsome doctor Vincent Keller (Jay Ryan), who struggles with becoming a terrifying beast when he is enraged, unable to control his super-strength and heightened senses. Cat and Vincent continue to grapple with the desire to be a normal couple while trying to keep a low profile in order to stay one step ahead of the mysterious organization known as Muirfield, now on the hunt for both of them","Kristin Kreuk, Jay Ryan, Austin Basis","Drama, Thriller"
Lost,Lost,http://o2tvseries.com/res/tv_serials/6.jpg,4.8,"The survivors of a plane crash are forced to live with each other on a remote island, a dangerous new world that poses unique threats of its own.","Jorge Garcia, Naveen Andrews, Matthew Fox","Adventure, Drama, Fantasy"
Prison Break,Prison Break,http://o2tvseries.com/res/tv_serials/14.jpg,4.81,"Structural Engineer Michael Scofield turns himself in to the Fox River Penitentiary in order to break out his brother Lincoln Burrows, who is on death row for the murder of the Vice President's brother. But Lincoln was set up by some of the Company (an agency formed by corrupt government officials) guys, headed by General Jonathan Krantz. Michael breaks out from Fox River with his brother Lincoln and other convicts","Dominic Purcell, Wentworth Miller, Amaury Nolasco","Crime, Drama, Mystery"
Quantico,Quantico,http://o2tvseries.com/res/tv_serials/152.jpg,4.88,A look at the lives of young FBI recruits training at the Quantico base in Virginia.,"Josh Hopkins, Priyanka Chopra, Aunjanue Ellis",Drama
True Detective,True Detective,http://o2tvseries.com/res/tv_serials/74.jpg,4.8,"The lives of two detectives, Rust Cohle and Martin Hart, become entangled during a 17-year hunt for a serial killer in Louisiana.","Matthew McConaughey, Woody Harrelson, Michelle Monaghan","Crime, Drama, Mystery"
Reign,Reign,http://o2tvseries.com/res/tv_serials/64.jpg,4.81,"Chronicles the rise to power of Mary Queen of Scots (Kane) when she arrives in France as a 15-year-old, betrothed to Prince Francis, and with her three best friends as ladies-in-waiting. It details the secret history of survival at French Court amidst fierce foes, dark forces, and a world of sexual intrigue.","Adelaide Kane, Megan Follows, Toby Regbo","Drama, Fantasy"
The Originals,The Originals,http://o2tvseries.com/res/tv_serials/50.jpg,4.87,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). Now Klaus must take down his protégé, Marcel (Charles Michael Davis), who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid (part vampire, part werewolf) and a werewolf (Hayley).","Daniel Gillies, Joseph Morgan, Charles Michael Davis","Action, Adventure, Drama"
Scandal US,Scandal US,http://o2tvseries.com/res/tv_serials/57.jpg,4.81,"When you get into trouble there's only one person to call, Olivia Pope. Olivia is a professional 'fixer' who makes problems go away before anyone even knows they exist. For the moneyed, the powerful and even the President, Olivia is a legend in her field. Her spectacular success is mostly due to her unbreakable rule of always trust your gut. No matter how careful you are, when you do damage control for a living, you're bound to cause some damage to your own life. She and her crew eat, sleep, live and breathe crisis. Each week, as the team races against the clock to defuse intriguing new problems before they become full-blown disasters, they also have to deal with their own personal issues. They may call themselves 'gladiators in suits', but little by little, Olivia and her crew begin to reveal the chinks in their armor.","Kerry Washington, Columbus Short, Darby Stanchfield",Drama
The Mentalist,The Mentalist,http://o2tvseries.com/res/tv_serials/35.jpg,4.8,"An infamous 'psychic' abandons his public persona, outing himself as a fake, to focus on his work as a consultant for the California Bureau of Investigation in order to find ""Red John,"" the madman who killed his wife and daughter.","Simon Baker, Robin Tunney, Tim Kang","Crime, Drama, Mystery"
True Blood,True Blood,http://o2tvseries.com/res/tv_serials/8.jpg,4.8,"The series follows Sookie Stackhouse, a barmaid living in Louisiana who can read people's minds, and how her life is turned upside down when the Vampire Bill, walks into her place of employment two years after vampires 'came out of the coffin' on national television.","Anna Paquin, Stephen Moyer, Sam Trammell","Drama, Fantasy, Mystery"
The Flash,The Flash,http://o2tvseries.com/res/tv_serials/117.jpg,4.86,The adventures of scientist Barry Allen who is a superhero with incredible speed.,"Grant Gustin, Candice Patton, Rick Cosnett","Action, Adventure, Drama"
Scorpion,Scorpion,http://o2tvseries.com/res/tv_serials/108.jpg,4.83,An eccentric genius forms an international network of super-geniuses to act as the last line of defense against the complicated threats of the modern world.,"Elyes Gabel, Katharine McPhee, Eddie Kaye Thomas","Action, Drama"
The Vampire Diaries,The Vampire Diaries,http://o2tvseries.com/res/tv_serials/7.jpg,4.86,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading 'normal' lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. They are back in the Virginia town where they became vampires. Stefan is noble, denying himself blood to avoid killing, and tries to control his evil brother Damon. Stefan falls in love with schoolgirl Elena, whose best friend is a witch, like her grandma.","Candice Accola, Nina Dobrev, Paul Wesley","Drama, Fantasy, Horror"
Teen Wolf,Teen Wolf,http://o2tvseries.com/res/tv_serials/28.jpg,4.83,"Awkward teen Scott McCall's life changes forever when he is bitten by a werewolf and becomes one himself. Some changes are positive - increased prowess in sports, super-hearing and a boost in confidence. But there are problems, and dangers, that come along with being a lycanthrope.","Dylan O'Brien, Tyler Posey, Crystal Reed","Comedy, Drama, Horror"
