movie,movie-href,desc,image,director,genre1,genre2,genre3,genre4,cast,hd_link,hd_link-href,download_link,download_link-href,first_link,second_link,third_link,fourth_link,name,year
A Good Day to Die Hard (2013),https://fzmovies.net/movie-A%20Good%20Day%20to%20Die%20Hard--hmp4.htm,"Iconoclastic, take-no-prisoners cop John McClane, for the first time, finds himself on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",https://fzmovies.net/imdb_images/A.Good.Day.To.Die.Hard.2013.jpg,John Moore,Action,Crime,Thriller,null,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead, Yuliya Snigir, Radivoje Bukvic",A_Good_Day_to_Die_Hard_BRRip_high.mp4,https://fzmovies.net/download1.php?fileID=3430&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=3430&section=3,https://server86.fzuploads.com/movies/Hollywood/A.Good.Day.To.Die.Hard.2013/A_Good_Day_to_Die_Hard_(2013)_BRRip_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/A.Good.Day.To.Die.Hard.2013/A_Good_Day_to_Die_Hard_(2013)_BRRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/A.Good.Day.To.Die.Hard.2013/A_Good_Day_to_Die_Hard_(2013)_BRRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/A.Good.Day.To.Die.Hard.2013/A_Good_Day_to_Die_Hard_(2013)_BRRip_high_(fzmovies.net).mp4,A Good Day to Die Hard,2013
Get Hard (2015),https://fzmovies.net/movie-Get%20Hard--hmp4.htm,"When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",https://fzmovies.net/imdb_images/Get.Hard.2015.jpg,,Comedy,null,null,null,"Will Ferrell, Kevin Hart, Alison Brie",Get_Hard_BluRayExt_high.mp4,https://fzmovies.net/download1.php?fileID=4756&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=4756&section=3,https://server86.fzuploads.com/movies/Hollywood/Get.Hard.2015/Get_Hard_(2015)_BluRayExt_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/Get.Hard.2015/Get_Hard_(2015)_BluRayExt_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/Get.Hard.2015/Get_Hard_(2015)_BluRayExt_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/Get.Hard.2015/Get_Hard_(2015)_BluRayExt_high_(fzmovies.net).mp4,Get Hard,2015
The Twilight Saga: Breaking Dawn - Part 2 (2012),https://fzmovies.net/movie-The%20Twilight%20Saga:%20Breaking%20Dawn%20-%20Part%202--hmp4.htm,"Bella is enjoying her new life and new powers, after the birth of their daughter, Renesmee. Soon, however, their family bliss is threatened again, by a new menace. Vampire Irina believes a child like Renesmee could challenge the power and existence of the Volturi. As Irina rallies the Volturi to destroy this potential threat, Bella and the Cullens - together with any allies they can assemble - are preparing to fight a crucial, ultimate battle, to protect their family.",https://fzmovies.net/imdb_images/Twilight_Saga_Breaing_Dawn_Part_2_(2012).jpg,Bill Condon,Adventure,Drama,Fantasy,Romance,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Elizabeth Reaser, Ashley Greene, Jackson Rathbone, Kellan Lutz, Nikki Reed, Billy Burke, Chaske Spencer, Mackenzie Foy",The_Twilight_Saga:_Breaking_Dawn_-_Part_2_DVDRip_high.mp4,https://fzmovies.net/download1.php?fileID=3000&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=3000&section=3,https://server96.fzuploads.com/movies/Hollywood/Twilight_Saga_Breaing_Dawn_Part_2_(2012)/The_Twilight_Saga:_Breaking_Dawn_-_Part_2_(2012)_DVDRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/Twilight_Saga_Breaing_Dawn_Part_2_(2012)/The_Twilight_Saga:_Breaking_Dawn_-_Part_2_(2012)_DVDRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/Twilight_Saga_Breaing_Dawn_Part_2_(2012)/The_Twilight_Saga:_Breaking_Dawn_-_Part_2_(2012)_DVDRip_high_(fzmovies.net).mp4,https://server86.fzuploads.com/movies/Hollywood/Twilight_Saga_Breaing_Dawn_Part_2_(2012)/The_Twilight_Saga:_Breaking_Dawn_-_Part_2_(2012)_DVDRip_high_(fzmovies.net).mp4,The Twilight Saga: Breaking Dawn - Part 2,2012
100 Ghost Street: The Return of Richard Speck (2012),https://fzmovies.net/movie-100%20Ghost%20Street:%20The%20Return%20of%20Richard%20Speck--hmp4.htm,"In 2010, paranormal investigators tried to film Richard Speck's ghost at the site of his heinous killing spree. The victims' families have finally released the footage that documents their last days.",https://fzmovies.net/imdb_images/100_Ghost_Street_The_Return_of_Richard_Speck_(2012).jpg,,Horror,,null,null,"Tony Besson, Jennifer Robyn Jacobs, Mike Holley, Jackie Moore,",100_Ghost_Street:_The_Return_of_Richard_Speck_BluRay_high.mp4,https://fzmovies.net/download1.php?fileID=1205&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=1205&section=3,https://server86.fzuploads.com/movies/Hollywood/100_Ghost_Street_The_Return_of_Richard_Speck_(2012)/100_Ghost_Street:_The_Return_of_Richard_Speck_(2012)_BluRay_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/Hollywood/100_Ghost_Street_The_Return_of_Richard_Speck_(2012)/100_Ghost_Street:_The_Return_of_Richard_Speck_(2012)_BluRay_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/100_Ghost_Street_The_Return_of_Richard_Speck_(2012)/100_Ghost_Street:_The_Return_of_Richard_Speck_(2012)_BluRay_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/100_Ghost_Street_The_Return_of_Richard_Speck_(2012)/100_Ghost_Street:_The_Return_of_Richard_Speck_(2012)_BluRay_high_(fzmovies.net).mp4,100 Ghost Street: The Return of Richard Speck,2012
The Twilight Saga: Breaking Dawn - Part 1 (2011),https://fzmovies.net/movie-The%20Twilight%20Saga:%20Breaking%20Dawn%20-%20Part%201--hmp4.htm,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",https://fzmovies.net/files/Hollywood/The_Twilight_Saga_Breaking_Dawn_Part-1/Breaking_Dawn_Part_1_Poster.jpg,Bill Condon,Adventure,Drama,Fantasy,Romance,"Kristen Stewart, Robert Pattinson, Taylor Lautner",The Twilight Saga Breaking Dawn Part-1 BluRay.mp4,https://fzmovies.net/download1.php?fileID=235&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=235&section=3,https://server96.fzuploads.com/movies/Hollywood/The_Twilight_Saga_Breaking_Dawn_Part-1/The_Twilight_Saga_Breaking_Dawn_Part-1_BluRay_high_(fzmovies.net).mp4,https://server86.fzuploads.com/movies/Hollywood/The_Twilight_Saga_Breaking_Dawn_Part-1/The_Twilight_Saga_Breaking_Dawn_Part-1_BluRay_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/The_Twilight_Saga_Breaking_Dawn_Part-1/The_Twilight_Saga_Breaking_Dawn_Part-1_BluRay_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/The_Twilight_Saga_Breaking_Dawn_Part-1/The_Twilight_Saga_Breaking_Dawn_Part-1_BluRay_high_(fzmovies.net).mp4,The Twilight Saga: Breaking Dawn - Part 1,2011
Max Steel (2016),https://fzmovies.net/movie-Max%20Steel--hmp4.htm,"The adventures of teenager Max McGrath and his alien companion, Steel, who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel.",https://fzmovies.net/imdb_images/Max.Steel.2016.jpg,Stewart Hendler,Action,Adventure,Family,null,"Ben Winchell, Josh Brener, Maria Bello",Max_Steel_WEBRip_high.mp4,https://fzmovies.net/download1.php?fileID=9734&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=9734&section=3,https://server96.fzuploads.com/movies/HollywoodN/Max.Steel.2016/Max_Steel_(2016)_WEBRip_high_(fzmovies.net).mp4,https://server86.fzuploads.com/movies/HollywoodN/Max.Steel.2016/Max_Steel_(2016)_WEBRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/HollywoodN/Max.Steel.2016/Max_Steel_(2016)_WEBRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/HollywoodN/Max.Steel.2016/Max_Steel_(2016)_WEBRip_high_(fzmovies.net).mp4,Max Steel,2016
Alvin and the Chipmunks: Chipwrecked (2011),https://fzmovies.net/movie-Alvin%20and%20the%20Chipmunks:%20Chipwrecked--hmp4.htm,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",https://fzmovies.net/files/Hollywood/Alvin and the Chipmunks: Chipwrecked_/Alvin and the Chipmunks-Chipwrecked.jpg,Mike Mitchell,"Animation,Comedy,Family,Fantasy,Music",null,null,null,"Justin Long, Matthew Gray Gubler, Jesse McCartney",Alvin_and_the_Chipmunks:_Chipwrecked_BDRip_high.mp4,https://fzmovies.net/download1.php?fileID=10839&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=10839&section=3,https://server96.fzuploads.com/movies/Hollywood/Alvin and the Chipmunks: Chipwrecked_/Alvin_and_the_Chipmunks:_Chipwrecked_(2011)_BDRip_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/Alvin and the Chipmunks: Chipwrecked_/Alvin_and_the_Chipmunks:_Chipwrecked_(2011)_BDRip_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/Alvin and the Chipmunks: Chipwrecked_/Alvin_and_the_Chipmunks:_Chipwrecked_(2011)_BDRip_high_(fzmovies.net).mp4,https://server86.fzuploads.com/movies/Hollywood/Alvin and the Chipmunks: Chipwrecked_/Alvin_and_the_Chipmunks:_Chipwrecked_(2011)_BDRip_high_(fzmovies.net).mp4,Alvin and the Chipmunks: Chipwrecked,2011
Schindlers List (1993),https://fzmovies.net/movie-Schindlers%20List--hmp4.htm,Oskar Schindler is a vainglorious and greedy German businessman who becomes unlikely humanitarian amid the barbaric Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp. A testament for the good in all of us.,https://fzmovies.net/imdb_images/Schindlers List.jpg,Steven Spielberg,Biography,Drama,History,War,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Shmuel Levy, Mark Ivanir, Béatrice Macola, Andrzej Seweryn, Friedrich von Thun, Krzysztof Luft, Harry Nehring, Norbert Weisser, Adi Nitzan, Michael Schneider, Miri Fabian, Anna Mucha, Albert Misak, Michael Gordon, Aldona Grochal, Jacek Wójcicki, Beata Paluch, Piotr Polk, Ezra Dagan, Beata Deskur, Rami Heuberger, Leopold Kozlowski, Jerzy Nowak, Uri Avrahami, Adam Siemion, Magdalena Dandourian, Pawel Delag, Shabtai Konorti, Oliwia Dabrowska, Henryk Bista, Tadeusz Bradecki, Wojciech Klata, Elina Löwensohn, Ewa Kolasinska, Bettina Kupfer, Grzegorz Kwas, Vili Matula, Stanislaw Koczanowicz, Hans-Jörg Assmann, Geno Lechner, August Schmölzer, Ludger Pistor, Beata Rybotycka, Branko Lustig, Artus Maria Matthiessen, Hans-Michael Rehberg, Eugeniusz Priwieziencew, Michael Z. Hoffmann, Erwin Leder, Jochen Nickel, Andrzej Welminski, Daniel Del Ponte, Marian Glinka, Grzegorz Damiecki, Stanislaw Brejdygant, Olaf Lubaszenko, Haymon Maria Buttinger, Peter Appiano, Jacek Pulanecki, Tomasz Dedek, Slawomir Holland, Martin Semmelrogge, Tadeusz Huk, Gerald Alexander Held, Piotr Cyrwus, Joachim Paul Assböck, Osman Ragheb, Maciej Orlos, Marek Wrona, Zbigniew Kozlowski, Marcin Grzymowicz, Dieter Witting, Magdalena Komornicka, Agnieszka Krukówna, Anemona Knut, Jeremy Flynn, Agnieszka Wagner, Jan Jurewicz, Wieslaw Komasa, Maciej Kozlowski, Martin S. Bergmann, Wilhelm Manske, Peter Flechtner, Sigurd Bemme, Etl Szyc, Lucyna Zabawa, Ruth Farhi, Jerzy Sagan, Dariusz Szymaniak, Dirk Bender, Maciej Winkler, Radoslaw Krzyzowski, Jacek Lenczowski, Hanna Kossowska, Maja Ostaszewska, Sebastian Skalski, Ryszard Radwanski, Piotr Kadlcik, Lech Niebielski, Thomas Morris, Sebastian Konrad, Lidia Wyrobiec-Bank, Ravit Ferera, Agnieszka Korzeniowska, Dominika Bednarczyk, Alicja Kubaszewska, Danny Marcu, Hans Rosner, Edward Linde-Lubaszenko, Alexander Strobele, Georges Kern, Alexander Buczolich, Michael Schiller, Götz Otto, Wolfgang Seidenberg, Hubert Kramar, Razia Israeli, Dorit Seadia, Esti Yerushalmi, Marta Bizon, Michelle Csitos, Ryszard Horowitz, Maciej Kowalewski, Kamil Krawiec, Zuzanna Lipiec, Maria Peszek, Leopold Pfefferberg, Leopold Rosner, Emilie Schindler, Katarzyna Smiechowicz, Ben Talar, Katarzyna Tlalka,",Schindlers.List.1993.720p.HDTV.mp4,https://fzmovies.net/download1.php?fileID=403&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=403&section=3,https://server86.fzuploads.com/movies/Hollywood/Schindlers List/Schindlers.List.1993.720p.HDTV_high.mp4,https://server96.fzuploads.com/movies/Hollywood/Schindlers List/Schindlers.List.1993.720p.HDTV_high.mp4,https://server26.fzuploads.com/movies/Hollywood/Schindlers List/Schindlers.List.1993.720p.HDTV_high.mp4,https://server15.fzuploads.com/movies/Hollywood/Schindlers List/Schindlers.List.1993.720p.HDTV_high.mp4,Schindlers List,1993
This Means War (2012),https://fzmovies.net/movie-This%20Means%20War--hmp4.htm,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,https://fzmovies.net/files/Hollywood/This_Means_War/This_Means_War_Poster.jpg,McG,Action,Comedy,Romance,null,"Reese Witherspoon, Chris Pine, Tom Hardy",This Means War (2012) BluRay.mp4,https://fzmovies.net/download1.php?fileID=784&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=784&section=3,https://server96.fzuploads.com/movies/Hollywood/This_Means_War/This_Means_War_(2012)_BluRay_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/Hollywood/This_Means_War/This_Means_War_(2012)_BluRay_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/Hollywood/This_Means_War/This_Means_War_(2012)_BluRay_high_(fzmovies.net).mp4,https://server86.fzuploads.com/movies/Hollywood/This_Means_War/This_Means_War_(2012)_BluRay_high_(fzmovies.net).mp4,This Means War,2012
Trolls (2016),https://fzmovies.net/movie-Trolls--hmp4.htm,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",https://fzmovies.net/imdb_images/Trolls_(2016).jpg,"Walt Dohrn, Mike Mitchell",Animation,Adventure,Comedy,null,"Anna Kendrick, Justin Timberlake, Zooey Deschanel",Trolls_BluRay_high.mp4,https://fzmovies.net/download1.php?fileID=10294&section=3,CLICK HERE TO DOWNLOAD THIS MOVIE ON YOUR DEVICE,https://fzmovies.net/download.php?fileID=10294&section=3,https://server86.fzuploads.com/movies/HollywoodN/Trolls_(2016)/Trolls_(2016)_BluRay_high_(fzmovies.net).mp4,https://server96.fzuploads.com/movies/HollywoodN/Trolls_(2016)/Trolls_(2016)_BluRay_high_(fzmovies.net).mp4,https://server26.fzuploads.com/movies/HollywoodN/Trolls_(2016)/Trolls_(2016)_BluRay_high_(fzmovies.net).mp4,https://server15.fzuploads.com/movies/HollywoodN/Trolls_(2016)/Trolls_(2016)_BluRay_high_(fzmovies.net).mp4,Trolls,2016
